slave,0x28,address,0x0,idata,0xaa
slave,0x28,address,0x1,idata,0x1
slave,0x28,address,0x2,idata,0x0
slave,0x28,address,0x3,idata,0x15
slave,0x28,address,0x4,idata,0x1
slave,0x28,address,0x5,idata,0x1
slave,0x28,address,0x6,idata,0x0
slave,0x28,address,0x7,idata,0x0
slave,0x28,address,0x8,idata,0x0
slave,0x28,address,0x9,idata,0xf
slave,0x28,address,0xa,idata,0x0
slave,0x28,address,0xb,idata,0xf
slave,0x28,address,0xc,idata,0x7
slave,0x28,address,0xd,idata,0xd0
slave,0x28,address,0xe,idata,0x0
slave,0x28,address,0xf,idata,0x0
slave,0x28,address,0x10,idata,0x0
slave,0x28,address,0x11,idata,0x0
slave,0x28,address,0x12,idata,0x0
slave,0x28,address,0x13,idata,0x0
slave,0x28,address,0x14,idata,0x0
slave,0x28,address,0x15,idata,0x0
slave,0x28,address,0x16,idata,0x0
slave,0x28,address,0x17,idata,0x0
slave,0x28,address,0x18,idata,0x0
slave,0x28,address,0x19,idata,0x0
slave,0x28,address,0x1a,idata,0x0
slave,0x28,address,0x1b,idata,0x0
slave,0x28,address,0x1c,idata,0x0
slave,0x28,address,0x1d,idata,0x0
slave,0x28,address,0x1e,idata,0x0
slave,0x28,address,0x1f,idata,0x0
slave,0x28,address,0x20,idata,0x0
slave,0x28,address,0x21,idata,0x0
slave,0x28,address,0x22,idata,0x0
slave,0x28,address,0x23,idata,0x0
slave,0x28,address,0x24,idata,0x0
slave,0x28,address,0x25,idata,0x78
slave,0x28,address,0x26,idata,0x1
slave,0x28,address,0x27,idata,0x0
slave,0x28,address,0x28,idata,0x2
slave,0x28,address,0x29,idata,0x1
slave,0x28,address,0x2a,idata,0x1
slave,0x28,address,0x2b,idata,0x1
slave,0x28,address,0x2c,idata,0x3
slave,0x28,address,0x2d,idata,0x0
slave,0x28,address,0x2e,idata,0x0
slave,0x28,address,0x2f,idata,0x0
slave,0x28,address,0x30,idata,0x20
slave,0x28,address,0x31,idata,0x0
slave,0x28,address,0x32,idata,0x0
slave,0x28,address,0x33,idata,0x4
slave,0x28,address,0x34,idata,0x0
slave,0x28,address,0x35,idata,0x13
slave,0x28,address,0x36,idata,0x0
slave,0x28,address,0x37,idata,0x0
slave,0x28,address,0x38,idata,0x0
slave,0x28,address,0x39,idata,0x0
slave,0x28,address,0x3a,idata,0x15
slave,0x28,address,0x3b,idata,0x0
slave,0x28,address,0x3c,idata,0x1
slave,0x28,address,0x3d,idata,0x0
slave,0x28,address,0x3e,idata,0x11
slave,0x28,address,0x3f,idata,0x0
slave,0x28,address,0x40,idata,0x1
slave,0x28,address,0x41,idata,0x0
slave,0x28,address,0x42,idata,0x11
slave,0x28,address,0x43,idata,0x0
slave,0x28,address,0x44,idata,0x1
slave,0x28,address,0x45,idata,0x0
slave,0x28,address,0x46,idata,0x0
slave,0x28,address,0x47,idata,0x0
slave,0x28,address,0x48,idata,0x0
slave,0x28,address,0x49,idata,0x0
slave,0x28,address,0x4a,idata,0x1
slave,0x28,address,0x4b,idata,0x1
slave,0x28,address,0x4c,idata,0x0
slave,0x28,address,0x4d,idata,0x0
slave,0x28,address,0x4e,idata,0x0
slave,0x28,address,0x4f,idata,0x0
slave,0x28,address,0x50,idata,0x0
slave,0x28,address,0x51,idata,0x0
slave,0x28,address,0x52,idata,0x0
slave,0x28,address,0x53,idata,0x0
slave,0x28,address,0x54,idata,0x0
slave,0x28,address,0x55,idata,0x0
slave,0x28,address,0x56,idata,0x0
slave,0x28,address,0x57,idata,0x0
slave,0x28,address,0x58,idata,0x0
slave,0x28,address,0x59,idata,0x0
slave,0x28,address,0x5a,idata,0x0
slave,0x28,address,0x5b,idata,0x0
slave,0x28,address,0x5c,idata,0x0
slave,0x28,address,0x5d,idata,0x0
slave,0x28,address,0x5e,idata,0x0
slave,0x28,address,0x5f,idata,0x0
slave,0x28,address,0x60,idata,0x0
slave,0x28,address,0x61,idata,0x0
slave,0x28,address,0x62,idata,0x0
slave,0x28,address,0x63,idata,0x3
slave,0x28,address,0x64,idata,0x0
slave,0x28,address,0x65,idata,0x0
slave,0x28,address,0x66,idata,0x0
slave,0x28,address,0x67,idata,0x0
slave,0x28,address,0x68,idata,0x3
slave,0x28,address,0x69,idata,0x0
slave,0x28,address,0x6a,idata,0x3
slave,0x28,address,0x6b,idata,0x0
slave,0x28,address,0x6c,idata,0x0
slave,0x28,address,0x6d,idata,0x0
slave,0x28,address,0x6e,idata,0x12
slave,0x28,address,0x6f,idata,0x48
slave,0x28,address,0x70,idata,0x0
