證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2887E","台新戊特","47000","2525600","53.70","53.80","53.70","53.80","0.2000","26"
"2887F","台新戊特二","105000","5376700","51.50","51.50","51.20","51.30","0.1000","63"
"2888","新光金","80018000","739929210","9.25","9.29","9.21","9.23","0.0600","9756"
"2888A","新光金甲特","87000","3650300","41.95","42.00","41.95","41.95","0.0000","34"
"2888B","新光金乙特","421000","17696500","42.00","42.10","41.95","42.10","0.1000","146"
"2889","國票金","7644000","120730100","15.80","15.90","15.70","15.80","0.0500","1817"
"2890","永豐金","17676000","303949850","17.30","17.30","17.05","17.10","-0.0500","4267"
"2891","中信金","24884000","654763250","26.50","26.50","26.15","26.20","-0.1000","6894"
"2891B","中信金乙特","19000","1196400","63.00","63.10","62.90","63.10","0.0000","10"
"2891C","中信金丙特","10000","613400","61.40","61.50","61.30","61.40","0.1000","8"
"2892","第一金","19869000","526315350","26.50","26.55","26.35","26.45","0.0500","3946"
"2897","王道銀行","4230000","37797840","8.93","8.98","8.90","8.92","0.0300","929"
"2897A","王道銀甲特","141000","1459300","10.30","10.35","10.30","10.35","0.0500","51"
"2901","欣欣","24000","576950","23.90","24.15","23.85","23.85","0.1500","17"
"2903","遠百","855000","17779950","20.65","21.00","20.65","20.80","0.3000","479"
"2904","匯僑","15000","334150","22.30","22.30","22.25","22.25","0.1000","11"
"2905","三商","427000","8550200","19.90","20.15","19.85","20.00","0.2000","199"
"2906","高林","2086000","39252000","18.60","19.10","18.50","18.85","0.5500","1003"
"2908","特力","144000","3166600","22.00","22.05","21.80","22.05","0.1500","93"
"2910","統領","33000","1049400","31.40","32.10","31.40","31.90","0.5000","31"
"2911","麗嬰房","33000","229900","6.91","7.00","6.91","6.99","0.0800","27"
"2912","統一超","1256000","342083000","274.00","274.00","269.00","272.00","-1.5000","918"
"2913","農林","519000","10108600","19.55","19.55","19.40","19.50","0.2000","257"
"2915","潤泰全","1885000","152040200","80.60","81.20","80.00","80.80","1.2000","1069"
"2923","鼎固-KY","314000","8771850","26.70","28.65","26.70","27.10","0.6000","146"
"2929","淘帝-KY","477000","6654150","13.95","13.95","13.95","13.95","1.2500","129"
"2939","凱羿-KY","70000","2026800","28.90","29.10","28.80","29.00","0.1000","43"
"2945","三商家購","18000","922000","51.00","51.90","51.00","51.50","0.5000","16"
"3002","歐格","225000","2853250","12.55","12.85","12.55","12.65","0.0500","145"
"3003","健和興","525000","39531200","75.60","75.60","74.70","75.50","1.5000","418"
"3004","豐達科","223000","13881900","61.90","62.90","61.50","61.90","0.4000","137"
"3005","神基","709000","30477250","42.90","43.15","42.75","43.10","0.5000","519"
"3006","晶豪科","7100000","721527500","101.00","103.00","100.50","101.50","2.0000","3717"
"3008","大立光","511000","869640000","1695.00","1715.00","1680.00","1705.00","45.0000","465"
"3010","華立","620000","55447700","88.50","90.00","88.50","90.00","0.0000","418"
"3011","今皓","1566000","30859550","18.75","20.10","18.75","19.80","1.1000","640"
"3013","晟銘電","245000","3430550","13.90","14.10","13.90","14.00","0.2500","119"
"3014","聯陽","484000","42067700","86.20","87.50","86.10","87.10","2.6000","400"
"3015","全漢","184000","6928150","37.00","37.90","37.00","37.80","0.0000","140"
"3016","嘉晶","1950000","183507700","92.10","95.20","92.10","94.30","4.3000","1485"
"3017","奇鋐","7286000","723599700","96.90","101.50","96.00","99.90","4.5000","4694"
"3018","同開","79000","951700","12.05","12.15","12.00","12.00","-0.0500","53"
"3019","亞光","757000","49939300","65.70","66.30","65.30","66.10","1.7000","578"
"3021","鴻名","55000","1134350","20.75","20.80","20.50","20.65","0.4000","36"
"3022","威強電","115000","5138550","44.40","44.90","43.95","44.70","0.8500","85"
"3023","信邦","515000","134778000","262.00","263.00","259.50","261.00","2.5000","472"
"3024","憶聲","497000","6103050","12.20","12.40","12.15","12.35","0.2000","175"
"3025","星通","153000","2806400","18.20","18.45","18.20","18.30","0.2000","85"
"3026","禾伸堂","324000","33630000","103.00","105.00","102.50","104.50","2.5000","244"
"3027","盛達","398000","7307450","17.80","18.80","17.80","18.30","0.9500","237"
"3028","增你強","585000","20433150","34.60","35.20","34.60","34.80","0.5500","338"
"3029","零壹","297000","11865500","39.80","40.10","39.80","39.95","0.2500","198"
"3030","德律","408000","24890600","61.10","61.30","60.80","61.00","0.7000","254"
"3031","佰鴻","123000","2171650","17.60","17.75","17.60","17.60","0.3000","79"
"3032","偉訓","35000","1003000","28.50","28.75","28.50","28.60","0.5000","30"
"3033","威健","1192000","34908450","29.25","29.40","29.15","29.25","0.3000","767"
"3034","聯詠","4828000","1594256500","326.50","335.00","326.00","330.00","5.0000","3467"
"3035","智原","27703000","5491277500","191.50","203.50","191.50","198.00","10.5000","16366"
"3036","文曄","2546000","174473600","68.40","69.40","67.30","68.70","1.0000","1703"
"3036A","文曄甲特","198000","9495600","47.95","48.00","47.95","48.00","0.0500","119"
"3037","欣興","29960000","5029683500","164.50","170.50","164.50","167.50","7.0000","16343"
"3038","全台","1406000","29112900","20.45","20.80","20.45","20.80","0.5500","641"
"3040","遠見","34000","1083450","31.90","32.10","31.75","32.10","0.2000","28"
"3041","揚智","841000","21320900","25.00","25.55","25.00","25.40","0.8500","506"
"3042","晶技","1630000","159648400","98.20","98.80","97.20","98.30","1.2000","1152"
"3043","科風","906000","4590380","5.04","5.10","5.00","5.00","0.0200","246"
"3044","健鼎","682000","79925500","117.50","117.50","116.50","117.00","-0.5000","418"
"3045","台灣大","4296000","472083500","110.00","110.50","109.50","109.50","-1.0000","2018"
